ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
18084,HIUS,3162,102,Discussion,"0","Stefan Lund","Fr 10:00AM - 10:50AM","Gibson Hall 141","Digitizing America","",Closed,20,20,0
18085,HIUS,3162,103,Discussion,"0","Stefan Lund","Fr 8:00AM - 8:50AM","Gibson Hall 241","Digitizing America","",Open,0,20,0
18086,HIUS,3162,104,Discussion,"0","Yuchen Zhao","Th 8:00AM - 8:50AM","New Cabell Hall 407","Digitizing America","",Open,14,20,0
18087,HIUS,3162,105,Discussion,"0","Yuchen Zhao","Fr 12:00PM - 12:50PM","Ruffner Hall 173","Digitizing America","",Open,18,20,0
18088,HIUS,3162,106,Discussion,"0","Yuchen Zhao","Fr 1:00PM - 1:50PM","Ruffner Hall 173","Digitizing America","",Open,15,20,0
18092,HIUS,3231,100,Lecture,"3","Elizabeth Varon","MoWe 9:00AM - 9:50AM","Gilmer Hall 141","Rise and Fall of the Slave South","",Open,31,60,0
18093,HIUS,3231,101,Discussion,"0","Emily Sackett","Fr 2:00PM - 2:50PM","Brooks Hall 103","Rise and Fall of the Slave South","",Open,6,20,0
18094,HIUS,3231,102,Discussion,"0","Emily Sackett","Th 6:00PM - 6:50PM","Maury Hall 113","Rise and Fall of the Slave South","",Open,18,20,0
18095,HIUS,3231,103,Discussion,"0","Emily Sackett","Fr 9:00AM - 9:50AM","New Cabell Hall 111","Rise and Fall of the Slave South","",Open,7,20,0
13014,HIUS,3411,001,Lecture,"3","Mark Thomas","TuTh 11:00AM - 12:15PM","Minor Hall 125","American Business","",Open,42,120,0
12424,HIUS,3456,100,Lecture,"3","Melvyn Leffler","TuTh 1:00PM - 1:50PM","Nau Hall 211","History of U.S. Foreign Relations Since 1914","",Open,56,60,0
12425,HIUS,3456,101,Discussion,"0","Wu Qu","Th 7:00PM - 7:50PM","Nau Hall 242","History of U.S. Foreign Relations Since 1914","",Closed,20,20,0
12426,HIUS,3456,102,Discussion,"0","Wu Qu","Th 6:00PM - 6:50PM","Nau Hall 242","History of U.S. Foreign Relations Since 1914","",Closed,17,20,0
12427,HIUS,3456,103,Discussion,"0","Wu Qu","Fr 11:00AM - 11:50AM","Gilmer Hall 225","History of U.S. Foreign Relations Since 1914","",Open,19,20,0
18099,HIUS,3523,001,Lecture,"3","Erik Erlandson","MoWeFr 11:00AM - 11:50AM","New Cabell Hall 058","Disco and Disillusionment: The United States in the 1970s","",Open,32,35,0
20142,HIUS,3652,001,Lecture,"3","Andrew Kahrl","TuTh 2:00PM - 3:15PM","Ruffner Hall G008","Afro-American History since 1865","",Open,51,170,0
13165,HIUS,3654,001,Lecture,"3","Claudrena Harold","TuTh 11:00AM - 12:15PM","Maury Hall 209","Black Fire","",Closed,164,120,0
18100,HIUS,3671,001,Lecture,"3","Kevin Gaines","MoWeFr 9:00AM - 9:50AM","New Cabell Hall 058","History of the Civil Rights Movement","",Open,14,40,0
13761,HIUS,3753,001,Lecture,"3","Erik Erlandson","TuTh 5:30PM - 6:45PM","New Cabell Hall 058","The History of Modern American Law","",Closed,42,40,0
13763,HIUS,4501,001,Seminar,"4","Elizabeth Varon","Tu 5:00PM - 7:30PM","New Cabell Hall 107","Seminar in United States History","Gender Hist. of Civil War Era",Closed,13,12,0
