ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor,Days,Room,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist
10304,AAS,1020,100,Lecture,"4","Claudrena Harold","TuTh 12:30PM - 1:45PM","Wilson Hall 301","Introduction to African-American and African Studies II","",Open,179,180,0
10309,AAS,1020,101,Discussion,"0","Gillet Rosenblith","Tu 6:00PM - 6:50PM","New Cabell Hall 407","Introduction to African-American and African Studies II","",Closed,21,20,0
10308,AAS,1020,102,Discussion,"0","Gillet Rosenblith","Tu 5:00PM - 5:50PM","Wilson Hall 244","Introduction to African-American and African Studies II","",Closed,20,20,0
10307,AAS,1020,103,Discussion,"0","Christopher Mathis","We 5:00PM - 5:50PM","New Cabell Hall 168","Introduction to African-American and African Studies II","",Closed,22,20,0
10306,AAS,1020,104,Discussion,"0","Christopher Mathis","We 7:00PM - 7:50PM","New Cabell Hall 283","Introduction to African-American and African Studies II","",Closed,21,20,0
10310,AAS,1020,105,Discussion,"0","Gillet Rosenblith","Tu 7:00PM - 7:50PM","New Cabell Hall 044","Introduction to African-American and African Studies II","",Open,17,20,0
10305,AAS,1020,106,Discussion,"0","Christopher Mathis","We 6:00PM - 6:50PM","New Cabell Hall 283","Introduction to African-American and African Studies II","",Closed,20,20,0
18292,AAS,1020,107,Discussion,"0","Diane-Jo Bart-Plange","Tu 4:00PM - 4:50PM","New Cabell Hall 191","Introduction to African-American and African Studies II","",Open,19,20,0
18293,AAS,1020,108,Discussion,"0","Diane-Jo Bart-Plange","Tu 5:00PM - 5:50PM","New Cabell Hall 183","Introduction to African-American and African Studies II","",Open,19,20,0
18294,AAS,1020,109,Discussion,"0","Diane-Jo Bart-Plange","Tu 6:00PM - 6:50PM","New Cabell Hall 183","Introduction to African-American and African Studies II","",Closed,20,20,0
12324,AAS,2224,001,Seminar,"3","Lisa Shutt","TuTh 9:30AM - 10:45AM","Maury Hall 104","Black Femininities and Masculinities in the US Media","",Open,44,45,0
12593,AAS,2224,002,Seminar,"3","Lisa Shutt","TuTh 11:00AM - 12:15PM","Maury Hall 115","Black Femininities and Masculinities in the US Media","",Closed,45,45,0
18296,AAS,2559,002,Seminar,"3","Anne Rotich","MoWeFr 1:00PM - 1:50PM","Ruffner Hall 139","New Course in African and African American Studies","Intro to African Languages&Lit",Open,13,30,0
20314,AAS,2559,003,Seminar,"3","Tony Perry","We 6:00PM - 8:30PM","New Cabell Hall 132","New Course in African and African American Studies","Slavery in Music, Comedy, Art",Open,15,20,0
18297,AAS,2740,001,Seminar,"3","Lisa Shutt","We 2:00PM - 4:30PM","New Cabell Hall 315","Peoples and Cultures of Africa","",Closed,24,24,0
18170,AAS,3000,001,Seminar,"3","Cynthia Hoehler-Fatton","TuTh 12:30PM - 1:45PM","New Cabell Hall 332","Women and Religion in Africa","",Open,4,5,0
13991,AAS,3500,001,Seminar,"3","Telisha Bailey","Tu 6:00PM - 8:30PM","New Cabell Hall 027","Intermediate Seminar in African-American & African Studies","Sexual Politics of Hip Hop",Closed,24,24,0
13992,AAS,3500,002,Seminar,"3","Nzingha Kendall","Mo 6:00PM - 8:30PM","New Cabell Hall 383","Intermediate Seminar in African-American & African Studies","Black Women Make Movies",Open,20,24,0
13993,AAS,3500,004,Seminar,"3","Njelle Hamilton","MoWe 2:00PM - 3:15PM","Lower West Oval Room 102","Intermediate Seminar in African-American & African Studies","Being Human",Open,17,18,0
18306,AAS,3500,005,Seminar,"3","Pamela Reynolds","Mo 3:30PM - 6:00PM","New Cabell Hall 183","Intermediate Seminar in African-American & African Studies","Af-American Health Professnals",Open,21,22,0
13994,AAS,3500,006,Seminar,"3","Claire Payton","Th 3:30PM - 6:00PM","New Cabell Hall 211","Intermediate Seminar in African-American & African Studies","Intro to Caribbean Studies",Open,9,16,0
13995,AAS,3500,008,Seminar,"3","Maurice Wallace","MoWeFr 10:00AM - 10:50AM","New Cabell Hall 187","Intermediate Seminar in African-American & African Studies","African American Literature II",Open,3,25,0
20240,AAS,3500,009,Seminar,"3","Ethan Madarieta","MoWe 3:30PM - 4:45PM","Monroe Hall 111","Intermediate Seminar in African-American & African Studies","Afro-Latino Literature",Open,24,30,0
20141,AAS,3652,001,Seminar,"3","Andrew Kahrl","TuTh 2:00PM - 3:15PM","Ruffner Hall G008","African American History since 1865","",Open,47,170,0
18307,AAS,3810,001,Seminar,"3","Sabrina Pendergrass","TuTh 2:00PM - 3:15PM","New Cabell Hall 415","Race, Culture and Inequality","",Open,19,20,0
10311,AAS,4080,001,Independent Study,"3","Claudrena Harold","TBA","TBA","Thesis","",Open,5,10,0
13996,AAS,4570,002,Seminar,"3","Kevin Gaines","MoWe 2:00PM - 3:15PM","Bryan Hall 330","Advanced Research Seminar in African-American & African Studies","Afr American Political Writing",Open,7,18,0
19744,AAS,4725,001,Seminar,"3","Edwin Otu","Tu 3:30PM - 6:00PM","New Cabell Hall 303","Queer Africas","",Open,14,15,0
11943,AAS,4993,001,Independent Study,"1 - 12","Claudrena Harold","TBA","TBA","Independent Study","",Open,1,30,0
20305,AAS,4993,002,Independent Study,"1 - 12","Lisa Shutt","TBA","TBA","Independent Study","",Open,2,30,0
18744,ACCT,2010,701,Lecture,"3","Marshall Kasten","Mo 2:00AM - 2:01AM","Web-Based Course-No class mtgs","Introductory Accounting I","",Open,21,24,0
18745,ACCT,2020,701,Lecture,"3","Noel Montesa","Mo 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Introductory Accounting II","",Open,14,24,0
18746,ACCT,3110,701,Lecture,"3","Leon Hutton","Tu 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Intermediate Accounting I","",Open,7,24,0
18747,ACCT,3120,701,Lecture,"3","Nammy Lee","Th 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Intermediate Accounting II","",Open,16,24,0
18748,ACCT,3140,701,Lecture,"3","William Cardine","We 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Cost Accounting","",Open,14,24,0
18751,ACCT,4450,701,Lecture,"3","Todd Falcone","We 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Federal Taxation I","",Open,10,24,0
18752,ACCT,5250,701,Lecture,"3","Richard Evans","Th 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Advanced Auditing","",Open,11,24,0
18753,ACCT,5310,701,Lecture,"3","Gary Brooks","Mo 2:02AM - 2:03AM","Web-Based Course-No class mtgs","Selected Topics in Advanced Accounting","",Open,16,24,0
18757,ACCT,5410,701,Lecture,"3","Michael Hood","Tu 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Fraud Examination","",Open,14,24,0
18759,ACCT,5460,701,Lecture,"3","Gary Dittmer","Tu 6:30PM - 9:45PM","Web-Based Course-No class mtgs","Federal Taxation II","",Open,7,24,0
14734,AIRS,100,001,Laboratory,"0","Daniel Brown","Tu 3:30PM - 5:30PM","Maury Hall 209","Leadership Laboratory","",Open,46,100,0
14728,AIRS,1200,001,Lecture,"1","Colleen Delawder","Tu 1:00PM - 1:50PM","Physics Bldg 203","The Foundations of the U.S. Air Force","",Open,8,50,0
14729,AIRS,1200,002,Lecture,"1","Colleen Delawder","We 1:00PM - 1:50PM","Astronomy Bldg 139","The Foundations of the U.S. Air Force","",Open,5,35,0
14730,AIRS,2200,001,Lecture,"1","Daniel Brown","Tu 2:00PM - 2:50PM","Wilson Hall 325","The Evolution of Air and Space Power","",Open,14,40,0
14731,AIRS,2200,002,Lecture,"1","Daniel Brown","We 2:00PM - 2:50PM","Astronomy Bldg 139","The Evolution of Air and Space Power","",Open,5,35,0
14732,AIRS,3200,001,Lecture,"3","Christopher Ulman","Tu 12:30PM - 1:45PM","Thornton Hall E304","Concepts of Air Force Leadership and Management","",Open,5,25,0
14735,AIRS,3200,002,Lecture,"3","Christopher Ulman","Mo 12:30PM - 3:00PM","Astronomy Bldg 139","Concepts of Air Force Leadership and Management","",Open,6,25,0
14733,AIRS,4200,001,Lecture,"3","Patrick Donley","Tu 12:30PM - 1:45PM","Shannon House 107","National Security Affairs/Preparation for Active Duty","",Open,2,30,0
14736,AIRS,4200,002,Lecture,"3","Patrick Donley","We 3:30PM - 5:30PM","Astronomy Bldg 139","National Security Affairs/Preparation for Active Duty","",Open,3,30,0
14861,ALAR,8020,001,Studio,"6","Staff","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Design Development Studio","",Open,0,41,0
14985,ALAR,8020,002,Studio,"6","Luis Pancorbo Crespo","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Design Development Studio","",Open,13,30,0
14887,ALAR,8020,004,Studio,"6","Ines Martin Robles","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Design Development Studio","",Open,10,15,0
18466,ALAR,8020,006,Studio,"6","John Comazzi","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Design Development Studio","",Open,10,30,0
18467,ALAR,8020,007,Studio,"6","Matthew Jull","MoFr 1:00PM - 4:45PM","Campbell Hall 401","Design Development Studio","",Open,9,30,0
20568,ALAR,8995,001,Studio,"6","Bradley Cantrell","TBA","TBA","Thesis II","",Open,3,4,0
21164,ALAR,8995,002,Studio,"6","Michael Lee","TBA","TBA","Thesis II","",Closed,1,1,0
14913,ALAR,8999,001,Independent Study,"1 - 12","Staff","TBA","TBA","Non-Topical Design Research-Masters","",Open,0,1,0
14958,ALAR,8999,002,Independent Study,"1 - 12","Staff","TBA","TBA","Non-Topical Design Research-Masters","",Open,0,1,0
18119,AMST,2559,001,Lecture,"3","Sarah Ingle","TuTh 9:30AM - 10:45AM","Bryan Hall 328","New Course in American Studies","Performing Race and Ethnicity",Closed,13,13,0
20192,AMST,2559,002,Lecture,"3","Keara Goin","TuTh 5:00PM - 6:15PM","New Cabell Hall 489","New Course in American Studies","Intersectionality & the Media",Open,29,30,0
13216,AMST,2660,100,Lecture,"3","Matthew Hedstrom","MoWe 2:00PM - 2:50PM","Maury Hall 209","Spiritual But Not Religious: Spirituality in America","",Closed,120,120,0
13271,AMST,2660,101,Discussion,"0","Kevin Rose","Th 6:00PM - 6:50PM","New Cabell Hall 168","Spiritual But Not Religious: Spirituality in America","",Closed,13,10,0
13272,AMST,2660,102,Discussion,"0","Kevin Rose","Th 7:00PM - 7:50PM","New Cabell Hall 168","Spiritual But Not Religious: Spirituality in America","",Closed,10,10,0
13273,AMST,2660,103,Discussion,"0","Kevin Rose","Th 8:00PM - 8:50PM","New Cabell Hall 168","Spiritual But Not Religious: Spirituality in America","",Open,8,10,0
13274,AMST,2660,104,Discussion,"0","Samuel Grimes","Fr 2:00PM - 2:50PM","Nau Hall 141","Spiritual But Not Religious: Spirituality in America","",Open,9,10,0
13275,AMST,2660,105,Discussion,"0","Samuel Grimes","We 7:00PM - 7:50PM","New Cabell Hall 183","Spiritual But Not Religious: Spirituality in America","",Closed,10,10,0
13276,AMST,2660,106,Discussion,"0","Samuel Grimes","We 8:00PM - 8:50PM","New Cabell Hall 415","Spiritual But Not Religious: Spirituality in America","",Closed,11,9,0
13277,AMST,2660,107,Discussion,"0","Melanie Pace","Fr 12:00PM - 12:50PM","New Cabell Hall 291","Spiritual But Not Religious: Spirituality in America","",Closed,10,10,0
13278,AMST,2660,108,Discussion,"0","Melanie Pace","Fr 1:00PM - 1:50PM","New Cabell Hall 291","Spiritual But Not Religious: Spirituality in America","",Closed,10,10,0
13279,AMST,2660,109,Discussion,"0","Melanie Pace","Fr 2:00PM - 2:50PM","Maury Hall 113","Spiritual But Not Religious: Spirituality in America","",Closed,9,10,0
14208,AMST,2660,110,Discussion,"0","Miguel Sawaya","We 6:00PM - 6:50PM","New Cabell Hall 407","Spiritual But Not Religious: Spirituality in America","",Closed,10,10,0
14209,AMST,2660,111,Discussion,"0","Miguel Sawaya","We 7:00PM - 7:50PM","New Cabell Hall 115","Spiritual But Not Religious: Spirituality in America","",Open,9,10,0
14210,AMST,2660,112,Discussion,"0","Miguel Sawaya","We 8:00PM - 8:50PM","New Cabell Hall 183","Spiritual But Not Religious: Spirituality in America","",Closed,11,10,0
12402,AMST,3001,001,Seminar,"3","Gillian Frank","TuTh 9:30AM - 10:45AM","Bryan Hall 235","Theories and Methods of American Studies","",Closed,19,18,0
13437,AMST,3001,002,Seminar,"3","Gillian Frank","TuTh 2:00PM - 3:15PM","New Cabell Hall 107","Theories and Methods of American Studies","",Closed,19,18,0
18125,AMST,3323,001,Lecture,"3","Carmen Lamas","TuTh 12:30PM - 1:45PM","Bryan Hall 235","Hemispheric Latinx Literature and Culture","",Closed,12,9,0
20156,AMST,3407,001,Seminar,"3","Shilpa Dave","TuTh 2:00PM - 3:15PM","Maury Hall 110","Racial Borders and American Cinema","",Closed,8,5,0
18120,AMST,3425,001,Lecture,"3","Jessica Sewell","MoWe 3:30PM - 4:45PM","Bryan Hall 235","American Material Culture","",Closed,31,30,0
19862,AMST,3463,001,Lecture,"3","Ashley Williams","TuTh 3:30PM - 4:45PM","Bryan Hall 235","Language and New Media","",Closed,30,30,0
19220,AMST,3559,001,Lecture,"3","Sarah Ingle","TuTh 2:00PM - 3:15PM","Bryan Hall 328","New Course in American Studies","Conjuring Race and Gender",Open,11,20,0
18117,AMST,3740,001,Lecture,"3","Jack Hamilton","MoWe 2:00PM - 3:15PM","Ruffner Hall G004","Cultures of Hip-Hop","",Closed,32,30,0
13442,AMST,4321,001,Lecture,"3","Carmen Lamas","Th 3:30PM - 6:00PM","New Cabell Hall 287","Caribbean Latinx: Cuba, Puerto Rico and the DR","",Open,17,18,0
19569,AMST,4500,001,Seminar,"3","Penny Von Eschen","Mo 3:30PM - 6:00PM","Bryan Hall 330","Fourth-Year Seminar in American Studies","Cold War Memory and Nostalgia",Open,5,9,0
13438,AMST,4500,002,Seminar,"3","Sandhya Shukla","TuTh 12:30PM - 1:45PM","Gibson Hall 242","Fourth-Year Seminar in American Studies","Sports & Transnational Culture",Closed,22,18,0
19643,AMST,4500,003,Seminar,"3","Lisa Goff","TuTh 3:30PM - 4:45PM","Bryan Hall 328","Fourth-Year Seminar in American Studies","Theories of American Space",Closed,8,18,0
13441,AMST,4500,004,Seminar,"3","Marlon Ross","Tu 5:30PM - 8:00PM","Bryan Hall 334","Fourth-Year Seminar in American Studies","Critical Race Theory",Closed,9,6,0
18126,AMST,4559,002,Lecture,"3","Jack Hamilton","MoWe 3:30PM - 4:45PM","Gibson Hall 211","New Course in American Studies","Aural Histories",Closed,10,10,0
11375,AMST,4999,001,Seminar,"3","Camilla Fojas","Tu 5:30PM - 8:00PM","New Cabell Hall 036","Distinguished Majors Thesis Seminar","",Open,8,12,0
18112,AMST,4999,002,Seminar,"3","Camilla Fojas,Marlene Daut Zaka","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,0,12,0
13355,AMST,4999,003,Seminar,"3","Camilla Fojas","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,0,9,0
18113,AMST,4999,004,Seminar,"3","Camilla Fojas,Carmen Lamas","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,0,12,0
13356,AMST,4999,005,Seminar,"3","Lisa Goff","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,0,9,0
13357,AMST,4999,006,Seminar,"3","Camilla Fojas,Matthew Hedstrom","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,0,9,0
13358,AMST,4999,007,Seminar,"3","Camilla Fojas,Sylvia Chong","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,0,9,0
13359,AMST,4999,008,Seminar,"3","Camilla Fojas,Sandhya Shukla","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,0,9,0
18114,AMST,4999,009,Seminar,"3","Camilla Fojas,John Hamilton","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,0,12,0
18115,AMST,4999,010,Seminar,"3","Camilla Fojas,Katharine Balfour","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,0,12,0
18116,AMST,4999,011,Seminar,"3","Camilla Fojas,David Singerman","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,0,12,0
14516,AMST,4999,012,Seminar,"3","Camilla Fojas,Carmenita Higginbotham","TBA","TBA","Distinguished Majors Thesis Seminar","",Open,0,9,0
18128,AMST,8001,001,Seminar,"3","Camilla Fojas","We 5:30PM - 8:00PM","Bryan Hall 235","Graduate Seminar in American Studies","",Open,8,15,0
10312,ANTH,1010,100,Lecture,"3","Mark Sicoli","MoWe 9:00AM - 9:50AM","Minor Hall 125","Introduction to Anthropology","",Closed,180,180,0
13120,ANTH,1010,101,Discussion,"0","Julia Barnes","We 5:00PM - 5:50PM","Brooks Hall 103","Introduction to Anthropology","",Open,19,20,0
13121,ANTH,1010,102,Discussion,"0","Julia Barnes","We 7:00PM - 7:50PM","New Cabell Hall 411","Introduction to Anthropology","",Closed,21,20,0
13122,ANTH,1010,103,Discussion,"0","Julia Barnes","Mo 7:00PM - 7:50PM","New Cabell Hall 044","Introduction to Anthropology","",Open,18,20,0
13510,ANTH,1010,105,Discussion,"0","Miao Jiang","Tu 5:00PM - 5:50PM","New Cabell Hall 485","Introduction to Anthropology","",Closed,20,20,0
13511,ANTH,1010,106,Discussion,"0","Miao Jiang","Th 5:00PM - 5:50PM","New Cabell Hall 364","Introduction to Anthropology","",Open,19,20,0
18313,ANTH,1010,107,Discussion,"0","Gregory Sollish","Mo 4:00PM - 4:50PM","New Cabell Hall 115","Introduction to Anthropology","",Closed,20,20,0
14619,ANTH,1010,110,Discussion,"0","Miao Jiang","Th 3:30PM - 4:20PM","Nau Hall 242","Introduction to Anthropology","",Open,19,20,0
14620,ANTH,1010,111,Discussion,"0","Gregory Sollish","Mo 1:00PM - 1:50PM","Brooks Hall 103","Introduction to Anthropology","",Closed,21,20,0
14621,ANTH,1010,112,Discussion,"0","Gregory Sollish","We 12:00PM - 12:50PM","The Rotunda Room 152","Introduction to Anthropology","",Closed,21,20,0
18337,ANTH,2120,100,Lecture,"3","Ira Bashkow","MoWe 11:00AM - 11:50AM","Gilmer Hall 190","The Concept of Culture","",Closed,121,120,0
18338,ANTH,2120,101,Discussion,"0","Rachel Apone","Tu 8:00PM - 8:50PM","New Cabell Hall 191","The Concept of Culture","",Open,16,20,0
18339,ANTH,2120,102,Discussion,"0","Rachel Apone","Mo 5:00PM - 5:50PM","New Cabell Hall 211","The Concept of Culture","",Closed,21,20,0
18340,ANTH,2120,103,Discussion,"0","Rachel Apone","Tu 7:00PM - 7:50PM","New Cabell Hall 183","The Concept of Culture","",Open,18,20,0
20649,ANTH,2120,104,Discussion,"0","Alison Broach","We 10:00AM - 10:50AM","Gilmer Hall 225","The Concept of Culture","",Closed,23,20,0
20650,ANTH,2120,105,Discussion,"0","Alison Broach","We 12:00PM - 12:50PM","Gilmer Hall 225","The Concept of Culture","",Closed,22,20,0
20651,ANTH,2120,106,Discussion,"0","Alison Broach","We 1:00PM - 1:50PM","Gilmer Hall 225","The Concept of Culture","",Closed,21,20,0
11843,ANTH,2280,100,Lecture,"3","Sylvia Tidey","TuTh 2:00PM - 2:50PM","McLeod Hall 1020","Medical Anthropology","",Closed,240,240,0
18316,ANTH,2280,101,Discussion,"0","Anthony Schienschang","Th 3:30PM - 4:20PM","Fayerweather Hall 206","Medical Anthropology","",Closed,20,20,0
18317,ANTH,2280,102,Discussion,"0","Xiaolei Qu","Th 5:00PM - 5:50PM","Maury Hall 113","Medical Anthropology","",Closed,19,20,0
18318,ANTH,2280,103,Discussion,"0","Jeffrey Attridge","Tu 6:00PM - 6:50PM","New Cabell Hall 303","Medical Anthropology","",Closed,20,20,0
18319,ANTH,2280,104,Discussion,"0","Shane Weitzman","Mo 5:00PM - 5:50PM","New Cabell Hall 044","Medical Anthropology","",Closed,20,20,0
18320,ANTH,2280,105,Discussion,"0","Anthony Schienschang","Tu 7:00PM - 7:50PM","New Cabell Hall 303","Medical Anthropology","",Closed,20,20,0
18321,ANTH,2280,106,Discussion,"0","Shane Weitzman","Tu 5:00PM - 5:50PM","New Cabell Hall 191","Medical Anthropology","",Closed,20,20,0
18322,ANTH,2280,107,Discussion,"0","Xiaolei Qu","We 6:00PM - 6:50PM","Brooks Hall 103","Medical Anthropology","",Open,19,20,0
18323,ANTH,2280,108,Discussion,"0","Shane Weitzman","Tu 8:00PM - 8:50PM","New Cabell Hall 303","Medical Anthropology","",Closed,21,20,0
18324,ANTH,2280,109,Discussion,"0","Xiaolei Qu","Th 3:30PM - 4:20PM","Ruffner Hall 173","Medical Anthropology","",Closed,21,20,0
20095,ANTH,2280,110,Discussion,"0","Jeffrey Attridge","Tu 5:00PM - 5:50PM","Cocke Hall 115","Medical Anthropology","",Closed,20,20,0
20096,ANTH,2280,111,Discussion,"0","Anthony Schienschang","Tu 6:00PM - 6:50PM","Cocke Hall 115","Medical Anthropology","",Closed,20,20,0
20098,ANTH,2280,112,Discussion,"0","Jeffrey Attridge","We 7:00PM - 7:50PM","Monroe Hall 114","Medical Anthropology","",Closed,20,20,0
13123,ANTH,2325,100,Lecture,"3","George Mentore","TuTh 3:30PM - 4:20PM","Clark Hall 102","Anthropology of God","",Open,34,45,0
20103,ANTH,2325,101,Discussion,"0","Eniola Afolayan","Mo 4:00PM - 4:50PM","New Cabell Hall 064","Anthropology of God","",Open,14,15,0
20104,ANTH,2325,102,Discussion,"0","Eniola Afolayan","Tu 6:00PM - 6:50PM","New Cabell Hall 064","Anthropology of God","",Closed,15,15,0
20105,ANTH,2325,103,Discussion,"0","Eniola Afolayan","Tu 7:00PM - 7:50PM","New Cabell Hall 064","Anthropology of God","",Open,5,15,0
13524,ANTH,2410,100,Lecture,"3","Daniel Lefkowitz","TuTh 3:30PM - 4:20PM","Maury Hall 115","Sociolinguistics","",Open,56,60,0
13525,ANTH,2410,101,Discussion,"0","Julia Warner","Th 8:00PM - 8:50PM","New Cabell Hall 209","Sociolinguistics","",Open,17,20,0
13526,ANTH,2410,102,Discussion,"0","Julia Warner","Th 7:00PM - 7:50PM","New Cabell Hall 209","Sociolinguistics","",Open,17,20,0
13527,ANTH,2410,103,Discussion,"0","Julia Warner","We 7:00PM - 7:50PM","New Cabell Hall 485","Sociolinguistics","",Closed,22,20,0
12690,ANTH,2430,100,Lecture,"3","Samuel Beer","MoWe 11:00AM - 11:50AM","Wilson Hall 301","Languages of the World","",Closed,121,120,0
12691,ANTH,2430,101,Discussion,"0","David Petrick","Th 7:00PM - 7:50PM","The Rotunda Room 152","Languages of the World","",Closed,20,20,0
12692,ANTH,2430,102,Discussion,"0","David Petrick","Th 8:00PM - 8:50PM","New Cabell Hall 044","Languages of the World","",Closed,20,20,0
12693,ANTH,2430,103,Discussion,"0","Grace East","Fr 9:00AM - 9:50AM","Brooks Hall 103","Languages of the World","",Closed,20,20,0
13528,ANTH,2430,104,Discussion,"0","David Petrick","Fr 10:00AM - 10:50AM","Brooks Hall 103","Languages of the World","",Closed,20,20,0
13529,ANTH,2430,105,Discussion,"0","Grace East","Mo 8:00AM - 8:50AM","Brooks Hall 103","Languages of the World","",Closed,20,20,0
13530,ANTH,2430,106,Discussion,"0","Grace East","Mo 9:00AM - 9:50AM","Brooks Hall 103","Languages of the World","",Closed,21,20,0
18331,ANTH,2559,001,Lecture,"3","Daniel Lefkowitz","TuTh 11:00AM - 12:15PM","New Cabell Hall 338","New Course in Anthropology","Languages of Nationhood",Open,8,15,0
18335,ANTH,2590,002,Lecture,"3","Xinyan Peng","MoWeFr 12:00PM - 12:50PM","New Cabell Hall 383","Social and Cultural Anthropology","Understanding Cultures of Work",Open,29,30,0
18336,ANTH,2590,003,Lecture,"3","Cory-Alice Andre-Johnson","TuTh 5:00PM - 6:15PM","New Cabell Hall 383","Social and Cultural Anthropology","Anthropology of Knowing",Open,7,30,0
20265,ANTH,2620,001,Lecture,"3","Jacqueline Cieslak","MoWe 5:00PM - 6:15PM","Clark Hall 101","Sex, Gender, and Culture","",Open,31,35,0
12694,ANTH,2820,100,Lecture,"3","Patricia Wattenmaker","TuTh 3:30PM - 4:20PM","Maury Hall 104","The Emergence of States and Cities","",Open,44,60,0
12925,ANTH,2820,101,Discussion,"0","Jennifer Saunders","Tu 5:00PM - 5:50PM","Dell 2 102","The Emergence of States and Cities","",Open,19,20,0
12926,ANTH,2820,102,Discussion,"0","Jennifer Saunders","Th 5:00PM - 5:50PM","New Cabell Hall 209","The Emergence of States and Cities","",Open,18,20,0
12927,ANTH,2820,103,Discussion,"0","Jennifer Saunders","Tu 6:00PM - 6:50PM","New Cabell Hall 209","The Emergence of States and Cities","",Open,7,20,0
13324,ANTH,3020,100,Lecture,"3","Aidan Seale-Feldman","MoWe 9:00AM - 9:50AM","Dell 1 105","Using Anthropology","",Open,58,60,0
18328,ANTH,3020,101,Discussion,"0","Erin Jordan","Th 5:00PM - 5:50PM","The Rotunda Room 152","Using Anthropology","",Closed,20,20,0
18329,ANTH,3020,102,Discussion,"0","Erin Jordan","Th 4:00PM - 4:50PM","New Cabell Hall 044","Using Anthropology","",Open,18,20,0
18330,ANTH,3020,103,Discussion,"0","Erin Jordan","Tu 5:00PM - 5:50PM","New Cabell Hall 027","Using Anthropology","",Closed,20,20,0
18351,ANTH,3130,001,Lecture,"3","John Shepherd","TuTh 8:00AM - 9:15AM","Clark Hall 107","Disease, Epidemics and Society","",Open,12,85,0
18349,ANTH,3290,001,Lecture,"3","Aidan Seale-Feldman","We 3:30PM - 6:00PM","New Cabell Hall 383","Biopolitics and the Contemporary Condition","",Open,14,15,0
18350,ANTH,3290,002,Lecture,"3","Aidan Seale-Feldman","We 3:30PM - 6:00PM","New Cabell Hall 383","Biopolitics and the Contemporary Condition","",Open,14,15,0
19911,ANTH,3310,001,Lecture,"3","China Scherz","TuTh 9:30AM - 10:45AM","Monroe Hall 118","Controversies of Care in Contemporary Africa","",Closed,32,20,0
12261,ANTH,3340,001,Lecture,"3","Frederick Damon","MoWeFr 10:00AM - 10:50AM","The Rotunda Room 150","Ecology and Society: An Introduction to the New Ecological Anthropology","",Open,15,25,0
20459,ANTH,3360,001,Lecture,"3","Carolyn Howarter","Mo 2:00PM - 4:30PM","Shannon House 107","The Museum in Modern Culture","",Open,15,35,0
12262,ANTH,3370,100,Lecture,"3","George Mentore","TuTh 10:00AM - 10:50AM","Maury Hall 115","Power and the Body","",Open,20,48,0
12263,ANTH,3370,101,Discussion,"0","Uzma Zafar","Tu 5:00PM - 5:50PM","New Cabell Hall 209","Power and the Body","",Open,8,20,0
12264,ANTH,3370,102,Discussion,"0","Uzma Zafar","Tu 7:00PM - 7:50PM","Brooks Hall 103","Power and the Body","",Open,5,20,0
12265,ANTH,3370,103,Discussion,"0","Uzma Zafar","Th 7:00PM - 7:50PM","Brooks Hall 103","Power and the Body","",Open,7,20,0
18356,ANTH,3455,001,Lecture,"3","Samuel Beer","TuTh 9:30AM - 10:45AM","New Cabell Hall 338","African Languages","",Closed,25,25,0
18343,ANTH,3480,100,Lecture,"3","Eve Danziger","WeFr 10:00AM - 10:50AM","Maury Hall 115","Language and Prehistory","",Open,44,55,0
18345,ANTH,3480,101,Discussion,"0","Zachary Mckeeby","Mo 10:00AM - 10:50AM","Brooks Hall 103","Language and Prehistory","",Open,19,20,0
18346,ANTH,3480,102,Discussion,"0","Zachary Mckeeby","Mo 12:00PM - 12:50PM","New Cabell Hall 044","Language and Prehistory","",Open,15,20,0
18347,ANTH,3480,103,Discussion,"0","Zachary Mckeeby","Tu 6:00PM - 6:50PM","Brooks Hall 103","Language and Prehistory","",Open,10,20,0
19905,ANTH,3589,001,Lecture,"3","Sevil Hatice Baltali Tirpan","TuTh 9:30AM - 10:45AM","Brooks Hall 103","Topics in Archaeology","Arch of Space Place Landscape",Open,12,20,0
19883,ANTH,3590,001,Lecture,"3","Adriana Greci Green","Tu 1:00PM - 3:30PM","Fayerweather Hall 208","Social and Cultural Anthropology","Indigenous North American Arts",Open,1,4,0
